2,ЛС,Финголимод Медисорб КАПСУЛЫ 500мкг № 40
2,ЛС,Кофицил - Плюс ТАБЛЕТКИ 300мг+50мг+100мг № 1200
2,ЛС,Доксазозин ТАБЛЕТКИ 4мг № 500
2,ЛС,Лозартан ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 50мг № 150
2,ЛС,Лофокс ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 400мг № 20
2,ЛС,Цефтриаксон ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ 2г № 1
2,ЛС,Антип ТАБЛЕТКИ № 6
2,ЛС,"Галоперидол-АЛСИ ТАБЛЕТКИ 1,5мг № 10"
2,ЛС,Бисопролол-Прана ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 10мг № 50
2,ЛС,Ирбесартан Канон ТАБЛЕТКИ 150мг № 7
2,ЛС,Вазоспонин ТАБЛЕТКИ 100мг № 50
2,ЛС,Апроваск ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 5мг+150мг № 56
2,ЛС,"Новокаин РАСТВОР ДЛЯ ИНЪЕКЦИЙ 2,5мг/мл 250 мл № 28"
2,ЛС,Флуконазол-Тева КАПСУЛЫ 100мг № 60
2,ЛС,Доцетаксел КОНЦЕНТРАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ 20мг/мл 9 мл № 35
2,ЛС,Ангиаканд ТАБЛЕТКИ 32мг № 28
2,ЛС,Сибри Бризхалер КАПСУЛЫ С ПОРОШКОМ ДЛЯ ИНГАЛЯЦИЙ 50мкг № 40
2,ЛС,Противогеморроидальный сбор СБОР ИЗМЕЛЬЧЕННЫЙ 40 г № 1
2,ЛС,Спазоверин Эффект ТАБЛЕТКИ 80мг № 40
2,ЛС,Флемоксин Солютаб ТАБЛЕТКИ ДИСПЕРГИРУЕМЫЕ 250мг № 50
2,ЛС,Синтомицин ЛИНИМЕНТ 10% 80 г № 50
2,ЛС,Вицеф ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ВНУТРИВЕННОГО И ВНУТРИМЫШЕЧНОГО ВВЕДЕНИЯ 500мг № 1
2,ЛС,"Белара ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 2мг+0,03мг № 63"
2,ЛС,Нексиум ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ 20мг № 7
2,ЛС,Рифампицин ЛИОФИЛИЗАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ 600мг № 50
2,ЛС,Метопролол Зентива ТАБЛЕТКИ 50мг № 30
2,ЛС,Заменитель сахара Рио Голд ТАБЛЕТКИ № 650
2,ЛС,РеоДЕКС 40 РАСТВОР ДЛЯ ИНФУЗИЙ 10% 250 мл № 1
2,ЛС,Линимент бальзамический (по Вишневскому) ЛИНИМЕНТ 30 г № 90
2,ЛС,Диасфор ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 850мг № 60
2,ЛС,Орунгамин КАПСУЛЫ 100мг № 6
2,ЛС,Дипиридамол-ФПО ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ 75мг № 30
